model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
norm,0,control,1,10,100,5,164,2,23060,0.028122,1,8,21,15819180,7064326,2466135,35205
norm,5,coro-no-prefetch,2,10,100,5,164,2,10647,0.0129841,0,8,21,15361570,7782598,2807454,86001
norm,6,coro-prefetch,2,10,100,5,164,2,11390,0.0138902,1,8,21,16511776,8511980,2899027,47991
norm,0,control,1,10,100,5,164,2,10929,0.013328,1,8,21,15826825,7064326,2466152,35221
norm,5,coro-no-prefetch,2,10,100,5,164,2,10707,0.0130573,0,8,21,15394580,7781980,2806034,87602
norm,6,coro-prefetch,2,10,100,5,164,2,11418,0.0139244,1,8,21,16508212,8511980,2899470,46895
norm,0,control,1,10,100,5,164,2,10895,0.0132866,1,8,21,15836718,7064326,2466133,35237
norm,5,coro-no-prefetch,2,10,100,5,164,2,10637,0.012972,0,8,21,15355608,7781980,2805178,85179
norm,6,coro-prefetch,2,10,100,5,164,2,11412,0.0139171,1,8,21,16536464,8511980,2904192,47586
norm,0,control,1,10,100,5,164,2,10888,0.013278,1,8,21,15820253,7064326,2466153,35225
norm,5,coro-no-prefetch,2,10,100,5,164,2,10737,0.0130939,0,8,21,15375188,7781980,2805076,85946
norm,6,coro-prefetch,2,10,100,5,164,2,11483,0.0140037,1,8,21,16546844,8511980,2907238,48050
norm,0,control,1,10,100,5,164,2,10869,0.0132549,1,8,21,15829952,7064326,2466120,35208
norm,5,coro-no-prefetch,2,10,100,5,164,2,10730,0.0130854,0,8,21,15352789,7781980,2803789,87289
