model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
cnn,0,control,1,2,10,40,218,2,22151,0.127013,1,4,41,8127001,11322524,1379436,11876
cnn,5,coro-no-prefetch,2,2,10,40,218,2,5853,0.0335608,0,4,41,8295041,11383116,1414165,16201
cnn,6,coro-prefetch,2,2,10,40,218,2,5892,0.0337844,1,4,41,8354719,11549621,1453015,12563
cnn,0,control,1,2,10,40,218,2,5663,0.0324713,1,4,41,8132148,11322524,1379492,11903
cnn,5,coro-no-prefetch,2,2,10,40,218,2,5804,0.0332798,0,4,41,8254203,11384542,1416820,15202
cnn,6,coro-prefetch,2,2,10,40,218,2,5904,0.0338532,1,4,41,8362729,11549958,1453277,12620
cnn,0,control,1,2,10,40,218,2,5697,0.0326663,1,4,41,8131840,11322524,1379461,11876
cnn,5,coro-no-prefetch,2,2,10,40,218,2,5746,0.0329472,0,4,41,8256860,11384181,1416399,14691
cnn,6,coro-prefetch,2,2,10,40,218,2,5884,0.0337385,1,4,41,8349625,11549781,1453002,12490
cnn,0,control,1,2,10,40,218,2,5729,0.0328498,1,4,41,8134336,11322524,1379440,11923
cnn,5,coro-no-prefetch,2,2,10,40,218,2,5775,0.0331135,0,4,41,8292523,11384181,1415961,17047
cnn,6,coro-prefetch,2,2,10,40,218,2,5904,0.0338532,1,4,41,8358942,11549781,1453572,12729
cnn,0,control,1,2,10,40,218,2,5759,0.0330218,1,4,41,8140520,11322524,1379446,11915
cnn,5,coro-no-prefetch,2,2,10,40,218,2,5749,0.0329644,0,4,41,8257677,11384181,1414755,14872
cnn,6,coro-prefetch,2,2,10,40,218,2,5869,0.0336525,1,4,41,8359689,11549781,1452910,12646
cnn,0,control,1,2,10,40,218,2,5669,0.0325057,1,4,41,8134351,11322524,1379501,11923
cnn,5,coro-no-prefetch,2,2,10,40,218,2,5741,0.0329186,0,4,41,8235044,11384181,1414831,14568
cnn,6,coro-prefetch,2,2,10,40,218,2,5844,0.0335092,1,4,41,8354996,11549781,1452734,12377
cnn,0,control,1,2,10,40,218,2,5760,0.0330275,1,4,41,8132211,11322524,1379487,11929
cnn,5,coro-no-prefetch,2,2,10,40,218,2,5873,0.0336755,0,4,41,8290410,11384181,1414165,16433
